"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","549","test_api_retourne_un_titre","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"Le titre est bien une string et pas un autre type","489","test_titre_est_une_chaine","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"La réponse contient un quota restant","556","test_quota_present","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"L'identifiant de la question est bien un entier","521","test_question_id_est_un_entier","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"Un tag qui n'existe pas retourne zéro résultats","486","test_tag_inexistant_retourne_liste_vide","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"","705","test_filtre_tag","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"","478","test_site_invalide","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"Chaque question contient les champs obligatoires","479","test_structure_question","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"","523","test_site_valide","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"","10222","test_api_vs_web[chromium]","tests.e2e","2026-05-11","passed","2026-05-11","","test_ui_api","",""
"","490","test_pagesize","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
"","7138","test_premiere_question_visible[chromium]","tests.ui","2026-05-11","passed","2026-05-11","","test_ui","",""
"","582","test_tri_questions","tests.api","2026-05-11","passed","2026-05-11","","test_api","",""
